# TYPE: SCORES
Resp no,pca0,pca1
0,0.99218375035835,1.1130401940750472
1,1.8299855645371825,-0.48996990330543366
2,0.033280540541753945,-1.115789736696972
3,0.8821994559324766,-0.526262199948562
4,-0.721588520243823,1.8034332655021967
5,-0.6000358681783398,0.09597988399634284
6,2.0633195903457016,-0.3521627165288747
7,-0.2147122576809638,1.2415995131079771
8,-0.19442230258824933,0.10182209655992797
9,-0.8074449666514192,-3.2528395408679605
10,1.6955844550943882,-0.6219615454864664
11,-0.7104991547349142,0.9423916224507215
12,0.6482367399030716,1.932098686100485
13,-0.8128641855228452,0.019083326759932222
14,-0.059719148061638305,0.7288907803269215
15,0.7768259320027117,0.3669617833511178
16,-0.44171924648473443,-1.097942880846268
17,-0.5340129712142025,1.2920223560771027
18,0.22683809945882796,-0.3726973387985886
19,0.9761858996028699,0.5324942510885986
20,1.4167730585066614,-0.3999543044676481
21,1.3702744505930977,0.7780212542579654
22,0.6597006191761249,0.659160378672076
23,0.93975885828489,0.023780284388056915
24,1.3284865305431253,-0.8358008196511949
25,-1.1049898095087145,-0.4483933718538357
26,-0.003160790689272373,2.389645927263595
27,0.0006355186281517185,-3.613449372643229
28,0.13908768201543312,1.0527541116584545
29,-0.7684603140299031,-2.0549932360791745
30,-0.7399825458007949,0.24249259415072896
31,0.5014445655673823,0.7061211833858974
32,-0.5896739706323786,0.8515663907202262
33,1.1743667798899542,0.7078555311342686
34,1.4737837823478823,0.4091904713849279
35,0.5611174247227156,0.7335139979160388
36,-0.5303496729282048,-0.21141063922665862
37,-0.015206961343037177,0.8009964218546312
38,-1.7485317348910658,0.06778718235598592
39,-0.7155328317579034,1.2953157856596833
40,0.3260876179236269,-0.06769629322954426
41,1.4532724603222325,1.3462055702253255
42,1.2618815955665306,0.907398048182609
43,1.032184653917345,-0.025990355278576065
44,1.7877640494520366,-0.41754111577324193
45,0.349338474077423,-0.33508604445934337
46,0.24223597736600733,1.992949780655959
47,-1.4155611178690677,-0.8514017310753158
48,1.0244441463071885,-0.4922534144167008
49,1.5494599867585963,-0.5656613758899982
50,2.051703557175843,-0.7609757503646813
51,1.9486382339034012,-0.24558634885159783
52,1.3253953194390224,-0.07402871869760479
53,-0.067293198668309,-0.4668783386258812
54,0.5213983569282596,0.7698711165074763
55,1.38566044885923,0.32975211984700353
56,-1.320344624016856,-0.3408340490594463
57,0.7977798105229448,-0.6806281437267798
58,-0.06094091803272233,-1.0824697482024566
59,-1.2022626472356641,-0.5250690023107086
60,-1.322053148725857,-0.4318509003612445
61,0.4886729577127225,2.430255455442046
62,1.628961949333022,-0.2904430335429456
63,1.0686459560701342,0.9089700500583767
64,1.1165696480043097,-1.1268858967794178
65,-1.0267249308250852,0.6389589073305674
66,-1.5146877667385041,0.09181248429117699
67,0.77205151646017,0.2882854629141966
68,1.1411774423500807,-0.6210109006199434
69,-1.0218748243494855,-0.6639420460617796
70,-1.4788545787283034,0.47179303207581236
71,0.1353514587896912,1.2569287902577866
72,-0.8458925242857877,1.50661698160842
73,-0.3418977421928604,0.06327545823661743
74,1.2023498995485307,-1.3137357540340564
75,1.2876705449467585,-0.05302634322923586
76,0.6737092837828303,1.2737232600855626
77,-1.2144805414979305,0.28023163610696034
78,-0.20320689065255773,-1.1741945653061867
79,-1.049668942454586,0.3048152636130638
80,1.4632963600001792,-1.0059218668008558
81,-0.1414084189330036,1.8337496875566026
82,-1.4441080903242276,-0.7112917734492297
83,0.941664383465204,1.8057173778490554
84,0.7995570122792379,-2.2250503315649217
85,-0.838146854003745,-0.6968347782186126
86,-0.655019139767353,0.38790325685828303
87,0.0071108107679772195,0.6928484590201007
88,-0.8969885656090556,2.2307559183472563
89,1.9073613680247437,-0.2075369314475101
90,1.3322929342108951,-1.5834048055956147
91,-1.1269567033108097,0.6073108641679412
92,1.5667646724547863,-1.5285477555738016
93,-0.5176394631798753,1.7511441470333349
94,-0.4336660876374493,-0.15736964581065124
95,-0.12246200720874674,-0.1906641722834312
96,-1.108376645478161,0.22876976315301514
97,-1.5297902493236744,-0.5149052400127759
98,-0.9591854650180465,0.7431224212790399
99,-0.6533440395748434,-0.8165596799463215
100,-0.6900769290575052,-0.3183623110580784
101,1.3331379568554813,0.47523996360345283
102,-1.3587820560862716,-0.7861949929298806
103,1.1194882501904597,-1.1366595797733063
104,-0.14161945924641506,0.2981868578517827
105,1.0907810723927434,-0.3140343757631872
106,-1.9268286104767112,-0.9882721345584451
107,-0.19609291693539,0.5316579958905571
108,0.3983109869570161,0.9630858873377457
109,-0.8230189843669635,-1.5762584829126034
110,0.45212289396826555,1.282946992813391
111,-0.6560167645238967,-0.5669994933113423
112,-0.8996363927762645,-0.6826028425832923
113,1.4049825802831915,-1.0054086672795821
114,-0.6043035357454286,0.05694497822851344
115,-0.9568174404254103,-0.38758582103206457
116,0.7534143641674209,0.6501230810894797
117,0.06145255269840495,3.267839083403401
118,0.7045221311646732,1.1505911778213098
119,-0.24544153050526013,1.3914400121599755
120,1.1271666585318036,-0.8251546708132163
121,-1.1468225801790015,-0.8091853422098961
122,1.0849244220858696,-0.7303993547506606
123,-0.32858097181004875,-0.5856691360449823
124,0.2184212716420869,-0.0033874225028552663
125,-0.6779194592322222,0.4003276689376748
126,0.6733933248054857,-0.2436943489364088
127,-0.7847898825035097,0.5799566576608854
128,0.7433711642680799,1.07545238750371
129,0.5104622443955861,-1.6014223058967605
130,0.37869784639713144,-0.832128816190959
131,0.8045252526643724,0.13255137998135172
132,-0.05047736050124046,2.4136299846474984
133,-0.0655021220248287,-0.8207113935392848
134,-1.578128879044785,0.42079046539244486
135,-1.4737868130913767,-0.8261281560580866
136,0.6554517257792336,0.15002272175086478
137,0.559847665004731,0.03417492610742968
138,1.510870268440243,-0.6960179815951307
139,-0.948129954781726,-0.12044088162259448
140,0.3472876406829009,0.33155999535911285
141,0.14851483297292165,0.14550928036558697
142,-0.7311482898037553,0.10853902133572581
