Configuration
 2 12
Dim1;Dimension 1
Dim2;Dimension 2
Bush;George W Bush
Nade;Ralph Nader
Chen;Dick Cheney
HCli;Hillary Clinton
BCli;Bill Clinton
Brad;Bill Bradley
Lieb;Joe Lieberman
Gore;Al Gore
McCa;John McCain
Buch;John Buchanon
DemP;Democratic Party
RepP;Republican Party
 3.20 -0.80 
-0.05  1.80 
 2.20 -0.80 
-2.90  1.00 
-2.60 -0.15
-0.01 -0.03 
-1.00 -1.00 
-1.60 -0.06 
 0.60 -1.80 
 2.20  3.40 
-1.80 -0.30
 3.20 -0.03 

 
