,Bush,Kerr,Nade,Chen,Edwa,LBus,HCli,BCli,Powe,Ashc,McCa,DemP,RepP
2090,30,85,15,30,50,60,50,70,85,70,85,70,30
2091,0,85,60,0,100,50,85,100,50,0,70,85,0
2092,85,30,50,85,40,100,15,15,10,100,70,40,85
2093,60,85,15,30,70,85,70,70,70,50,85,85,50
2094,40,60,50,30,50,50,60,70,70,30,85,60,60
2095,100,15,60,70,15,85,0,0,85,85,85,15,85
2096,30,60,50,30,50,50,70,70,70,60,60,50,50
2097,85,40,30,85,50,70,15,30,100,70,100,30,70
2098,100,0,50,100,40,100,30,40,85,50,15,15,85
2099,50,60,50,40,60,50,60,60,50,50,40,60,50
2100,85,30,0,50,70,85,30,50,100,40,70,50,50
2101,85,60,60,60,70,100,15,60,100,0,70,60,60
2102,100,40,50,70,50,85,30,15,70,50,50,40,85
2103,15,70,50,15,70,50,70,60,40,40,60,85,30
2104,30,60,30,50,50,40,40,50,60,50,50,60,40
2105,85,40,50,60,60,85,70,70,70,60,100,40,70
2106,100,0,0,85,0,100,0,0,100,100,50,50,90
2107,50,50,50,50,50,50,60,60,50,50,50,50,50
2108,85,0,60,60,30,70,15,40,60,60,70,30,70
2109,0,70,50,0,85,100,60,60,40,15,100,85,15
2110,0,85,50,50,60,60,85,70,70,40,40,100,15
2111,0,85,0,0,85,50,70,100,40,50,60,85,15
2112,100,40,75,60,50,90,70,0,100,100,100,50,60
2113,100,15,50,85,30,100,0,15,85,85,50,60,85
2114,70,30,50,60,30,70,30,30,70,50,50,40,40
2115,40,70,0,40,70,50,85,85,60,50,50,85,40
2116,0,70,0,0,85,30,85,100,15,0,70,85,0
2117,15,85,0,0,60,60,50,85,70,30,70,85,50
2118,60,50,50,60,50,60,60,60,70,50,50,50,60
2119,100,30,50,70,15,100,30,0,100,70,85,15,50
2120,0,85,0,0,85,50,70,75,40,0,40,85,15
2121,0,60,40,0,60,50,50,60,85,0,50,60,50
2122,0,85,30,0,85,40,100,100,40,15,60,70,15
2123,100,40,40,95,40,100,2,40,90,95,90,50,75
2124,0,100,0,0,100,15,70,100,0,0,0,100,0
2125,40,60,30,30,50,40,50,60,50,15,50,50,40
2126,100,40,30,85,0,100,0,0,70,100,0,40,100
2127,40,60,60,15,70,70,70,70,60,30,70,60,50
2128,0,70,60,50,50,50,85,100,50,50,50,100,0
2129,50,85,50,40,85,60,100,100,50,50,60,70,50
2130,40,60,70,15,40,60,30,60,70,0,85,40,50
2131,0,85,60,0,85,50,85,85,40,15,40,85,15
2132,50,85,50,50,70,70,60,60,70,50,60,50,70
2133,0,70,50,0,85,0,85,85,60,0,60,70,15
2134,85,60,50,85,60,70,0,30,70,60,85,40,70
2135,0,85,30,30,60,50,85,100,30,50,60,70,15
2136,50,50,10,50,60,50,40,50,90,5,95,50,60
2137,70,0,0,70,30,40,0,0,85,60,70,15,85
2138,30,60,60,40,60,50,85,85,60,60,60,50,50
2139,100,15,0,50,30,100,50,60,70,60,85,15,85
2140,85,40,50,70,50,50,85,85,70,50,50,40,60
2141,0,15,0,0,0,0,15,100,0,0,0,0,0
2142,15,60,60,40,50,40,40,70,60,40,50,60,15
2143,50,100,50,50,100,70,100,100,50,50,50,100,50
2144,0,100,15,0,85,40,100,100,15,0,85,85,0
2145,0,85,60,15,85,30,85,85,30,50,70,70,30
2146,0,85,85,0,85,50,70,100,30,15,85,70,30
2147,50,40,0,70,52,60,50,40,100,50,85,50,60
2148,100,60,100,70,60,100,85,15,100,70,85,60,85
2149,60,40,50,60,40,50,50,30,70,70,50,70,30
2150,100,50,50,100,50,100,100,100,100,100,100,85,100
2151,85,0,50,85,0,100,0,0,85,100,70,40,70
2152,50,70,50,40,60,60,70,60,70,50,60,85,40
2153,60,60,50,50,60,60,60,70,40,50,50,60,60
2154,15,60,60,0,70,40,85,85,40,30,60,60,40
2155,70,60,70,30,85,85,70,0,85,60,70,50,40
2156,15,70,50,15,85,60,100,85,40,30,40,85,15
2157,15,40,70,0,60,50,0,50,50,0,70,40,0
2158,0,70,15,40,50,60,60,50,70,50,85,60,30
2159,70,50,30,85,50,60,15,30,60,60,40,60,70
2160,85,15,40,70,85,85,50,50,85,70,85,50,85
2161,85,40,50,70,30,70,15,30,85,60,40,30,85
2162,60,85,50,50,85,70,100,100,85,60,100,70,60
2163,20,75,50,30,60,45,60,70,50,45,50,75,30
2164,70,30,60,70,60,85,40,30,100,50,70,50,50
2165,0,70,50,0,85,50,85,100,60,40,60,70,40
2166,85,60,50,70,50,70,70,70,70,70,50,30,60
2167,70,60,60,40,60,70,40,40,100,30,70,60,70
2168,100,0,85,50,50,100,0,0,60,85,0,0,85
2169,0,50,0,15,50,15,100,100,15,0,0,70,0
2170,100,30,30,85,60,100,30,40,100,50,100,60,85
2171,60,60,50,30,50,85,60,15,85,50,40,60,50
2172,85,15,0,85,40,85,40,30,85,70,85,40,85
2173,30,60,50,30,60,50,50,60,60,40,85,60,60
2174,85,50,50,50,50,70,30,50,50,50,50,50,100
2175,70,30,30,60,30,50,15,0,85,30,50,50,50
2176,100,0,50,85,15,100,15,0,85,70,70,30,85
2177,50,50,50,50,50,50,50,50,50,50,50,50,50
2178,60,30,0,60,15,50,50,50,60,50,60,40,60
2179,60,70,70,60,60,60,60,70,70,50,85,60,60
2180,100,50,50,85,50,100,70,70,85,50,60,60,100
2181,0,70,40,0,85,50,60,90,60,0,60,70,15
2182,15,70,85,0,70,40,50,70,85,0,40,40,30
2183,100,40,40,85,30,100,30,60,85,70,60,60,85
2184,60,40,70,60,50,60,40,30,60,60,70,30,40
2185,100,40,40,100,40,100,15,30,85,85,85,40,100
2186,100,0,60,100,0,100,0,50,100,85,100,15,85
2187,100,0,30,70,0,100,0,15,85,70,50,15,85
2188,0,85,30,0,70,15,85,85,60,15,60,100,0
2189,30,30,0,0,40,70,0,40,100,0,70,40,60
2190,85,30,30,60,50,85,0,30,70,50,60,30,70
2191,85,0,40,70,15,100,40,40,70,70,60,40,70
2192,100,0,50,100,0,100,0,0,100,90,70,15,85
2193,65,60,40,55,0,75,60,70,65,60,85,55,65
2194,85,15,15,85,15,100,15,50,100,85,85,30,85
2195,60,60,0,15,0,50,0,60,50,15,50,40,70
2196,10,25,50,60,60,50,100,100,100,60,50,50,100
2197,85,60,70,70,50,85,70,70,85,60,40,70,60
2198,35,50,60,50,60,50,30,40,60,30,50,50,50
2199,70,60,50,85,15,60,15,15,85,60,40,50,50
2200,70,15,0,60,15,85,0,0,70,70,85,40,70
2201,0,40,50,50,60,15,85,100,70,60,70,60,30
2202,85,60,50,40,60,50,70,50,60,50,50,30,85
2203,70,70,50,50,70,85,60,40,85,50,50,100,15
2204,0,85,0,0,85,50,100,100,40,0,50,85,0
2205,0,100,60,15,100,40,100,100,40,40,15,100,0
2206,30,70,70,0,40,50,60,30,70,50,40,30,30
