# TYPE: SCORES
i,Dimension 1,Dimension 2
0,0.1923922692509915,-1.458897176037551
1,1.7727606686194566,-0.5711988890644127
2,0.8997758430038504,1.0356716422337655
3,1.015831079992909,-0.1173789107242301
4,-1.389962974324574,-0.7977284769175759
5,-0.4951110176542497,0.30846658232643
6,1.8216098574668755,-0.9042950303129068
7,-0.5258075086574338,-0.4910687337952369
8,-0.3229438391493286,0.0849531009029326
9,1.1514090841494664,2.8586063289358847
10,1.7982251729318115,-0.4317488223828061
11,-1.4200448194076898,-0.5900668487931707
12,-0.5739975988673999,-1.8351614973268364
13,-0.5830296624832426,0.5304369776285792
14,-0.3343586660319051,-0.3996581566497982
15,0.4317921982973411,-0.7589452136905368
16,0.6030688383179983,1.3882013407155327
17,-1.1959206436348615,-0.6865505371553812
18,0.367982072311965,0.0305440464977642
19,0.6526178565107251,-0.8414378461024584
20,1.486844774284146,-0.2852882342730132
21,0.6500740702902538,-1.3666972184978896
22,0.1933015541776524,-0.9931083444657124
23,0.755566037468137,-0.5564775690874237
24,1.2900572267862005,-0.3664400377722464
25,-0.4268272726927344,1.1265431032567532
26,-1.3836297974156038,-1.7877928575371296
27,2.0134169778835607,2.6084710807083304
28,-0.3891260739602902,-0.756230898045993
29,0.564310397728367,1.9664983301932533
30,-0.8695919597467445,0.2104235130545082
31,0.1080927708197553,-0.7212918773276491
32,-0.7892510602751996,-0.2296423411859068
33,0.5897246288194204,-1.15605174613913
34,0.8459138847159308,-1.1705943086525774
35,-0.0339979732802146,-0.9871355746684092
36,-0.5061233812764923,0.4280796539679188
37,-0.5156978907346066,-0.698226192572578
38,-1.4243111678751,0.9302841605152572
39,-1.3248436256902576,-0.5959992141486135
40,0.4282312372738117,-0.2145208719459772
41,0.5465084663389576,-1.640333983716814
42,0.4715788955966802,-1.4064317442893484
43,0.8383923106972763,-0.5625584530023241
44,1.684273568431952,-0.6901129172178484
45,0.4521299033366305,-0.1026584024200195
46,-0.8478946020629292,-1.5971969989373391
47,-0.6873505670014477,1.4889914673095053
48,1.007776339566058,-0.2635817221251703
49,1.6256986427597775,-0.4142328237260508
50,2.075187176598351,-0.5624013398125969
51,1.7114126284522746,-0.8793174263363523
52,1.1661312737078215,-0.7166727357520827
53,0.2585240097308422,0.4760553739100543
54,-0.0603935355613585,-0.9794897272794632
55,1.265047047726218,-0.794136333444437
56,-0.8592701831577282,0.937043574995098
57,0.7923656585128694,-0.1672543494828934
58,0.0717722700019593,0.490730513102801
59,-0.5851738144496845,1.245935511554937
60,-0.5862102110613164,1.2361639161205664
61,-0.7185527981164458,-1.8474217264033237
62,1.6920150119448734,-0.5842849253610181
63,0.2996989683384453,-1.337534073606461
64,1.5111115926896543,0.1179813796253791
65,-1.1952437691004325,0.2270680107861312
66,-1.1529818334524782,0.9816675582000032
67,0.4027429893126092,-0.6856376616635449
68,1.0654265253329944,-0.3579426519545255
69,-0.4635165934032273,0.9183723346971436
70,-1.3792468221562677,0.6360495073055373
71,-0.5669647149025925,-0.9502121691869744
72,-1.4688542318792217,-0.5598249446146362
73,-0.2581508817923903,0.1754896646028231
74,1.5390970643751007,0.1581322675937942
75,1.0331012399562582,-0.7499888913541083
76,-0.0014590916113427,-1.2984863549313208
77,-0.9891129258831324,0.6623767587959064
78,0.739310650477685,1.2283338066576273
79,-1.1623388860893984,0.3024207241453829
80,1.626039141372287,-0.176208921574159
81,-0.9418881332084564,-1.222452911142478
82,-0.8821812390998753,1.1941117085246276
83,-0.342158329790607,-1.9187597883572585
84,2.023212601230652,1.2945836429231563
85,-0.2940499921612611,0.9531064425680692
86,-0.7088761042704219,0.034475759925875
87,-0.5522679856685457,-0.737914384015833
88,-1.9925238371270837,-1.2335789311950434
89,1.584497578787304,-0.9463231579680912
90,1.884363320948076,0.3704594839009387
91,-1.228400936813913,0.2528545438621742
92,2.0881967399208534,0.2043578760808586
93,-1.2223871750582531,-0.8155664207245061
94,-0.4498616402004134,0.2299775383617952
95,0.0691164786328439,0.2990047312118072
96,-0.9490711186872496,0.4424030095280227
97,-0.88662766890036,1.190994793886364
98,-1.10024659393894,0.0921552334680442
99,-0.342443604566429,0.8364903241934295
100,-0.521706492340308,0.6557501946696267
101,0.6946142613668967,-1.3064131012132283
102,-0.5339876781243375,1.3625526802002728
103,1.3410791674410258,0.0571936890971497
104,-0.0431407425981866,0.0525850283929679
105,1.28842784678305,-0.2498901772957631
106,-1.0056184952233198,1.7819365284529285
107,-0.2572940062653723,-0.1217438043679185
108,0.0353553064112471,-0.7387259922298403
109,0.3834274184520301,1.757055174314855
110,-0.2741394863029855,-1.1503471133544094
111,-0.0034366063686946,1.0617973164563828
112,-0.4049390545069245,0.8994145609404078
113,1.583703884028923,-0.1520856137399372
114,-0.2756652653848064,0.5975953665503732
115,-0.4770755038959127,0.905450762143192
116,0.1674411339258728,-0.9378074212629072
117,-1.5803979319884545,-2.342400390315553
118,0.3443107689375447,-0.9378992922774022
119,-1.084079950306747,-1.0264485858199603
120,1.202275141538858,-0.2460066520903431
121,-0.4566987607790168,1.2501643537559206
122,1.3205806830638225,-0.0638803545386996
123,0.1710623862525194,0.7125043459793171
124,0.0708408412969693,-0.1955371269822906
125,-0.6248540197718631,0.1674666505359278
126,0.5831970729345103,-0.239296809704212
127,-1.08568762377275,-0.131029210100699
128,0.0036758333291139,-1.1419184202681074
129,1.1274316860241336,0.7920836808668251
130,0.7028114817833655,0.1957777094961546
131,0.3511743264597164,-0.8461946261862732
132,-1.5925456002548677,-1.8816489001768268
133,0.2206609533050796,0.543114738284372
134,-1.6347713027282602,0.443984830597023
135,-0.6104400927783964,1.534092602052531
136,0.3789749568673037,-0.4964969457803845
137,0.4227067772668914,-0.3295176800806159
138,1.4766151726311063,-0.4378768696005534
139,-0.5690522181516696,0.6559054040292223
140,0.0856677590918397,-0.4793589224569528
141,0.1038360992745757,-0.1400074474656345
142,-0.6521106001706248,0.3637231279770057
143,0.6207553780839689,0.0207753538377396
144,0.9723919238984648,-0.5056837135659497
145,-0.791455361643932,0.0791512471559732
146,-0.7146335568246558,-2.014823663479724
147,-1.0135500512935556,1.2317795394315394
148,-0.6552587928630308,-0.4994808072481078
149,-0.6392705389913513,0.2843589043732012
150,-0.0841802366470866,0.2223510616227486
151,0.5984956399333607,-0.2739870349392057
152,-0.5245617456048969,0.7826414154095369
153,1.1228697667372278,0.0913990246713527
154,-0.8319551476216959,1.2571767324699246
155,0.6744161180588105,-1.164310710217337
156,-0.4308343757555432,1.3009246692249212
157,-0.0772306947878161,-0.6311676009623971
158,-1.291761429728293,0.8001407431055834
159,-0.1592752791984159,0.8715594252960306
